file,type,category,question_eng,answer,item_text
QB12R_2,ordinal,ethnicity,"How comfortable would you feel if a colleague at work with whom you are in daily contact belonged to each of the following groups?",A black person,Having a black colleague
QB12R_3,ordinal,ethnicity,"How comfortable would you feel if a colleague at work with whom you are in daily contact belonged to each of the following groups?",An Asian person,Having an Asian colleague
QB12R_4,ordinal,ethnicity,"How comfortable would you feel if a colleague at work with whom you are in daily contact belonged to each of the following groups?",A white person,Having a white colleague
QB13R_2,ordinal,ethnicity,"How comfortable you would feel if one of your children was in a love relationship with a person from one of the following groups?",A black person,Your child in love relationship with a black person
QB13R_3,ordinal,ethnicity,"How comfortable you would feel if one of your children was in a love relationship with a person from one of the following groups?",An Asian person,Your child in love relationship with an Asian person
QB13R_4,ordinal,ethnicity,"How comfortable you would feel if one of your children was in a love relationship with a person from one of the following groups?",A white person,Your child in love relationship with a white person
QB6R_3,ordinal,ethnicity,"How you would feel about having a person from each of the following groups in the highest elected political position.",A person from a different ethnic origin than the majority of the population,Person from minority in highest elected political position
QB17_6,ordinal,ethnicity,"To what extent do you agree or disagree with the following statements? School lessons and material should include information about …?",Racism,School lessons and material should include information about racism
QB17_7,ordinal,ethnicity,"To what extent do you agree or disagree with the following statements? School lessons and material should include information about …?",The history of antisemitism in European countries and the Holocaust,School lessons and material should include information about the Holocaust
QB18,binary,ethnicity,"Do you think that transgender persons should be able to change their civil documents to match their gender identity?",None,Transgender persons should be able to change civil documents
QB19,binary,ethnicity,"Do you believe that official documents like passports and birth certificates should have a third option such as X or O (other) beside male (M) and female (F) for those persons who do not identify as female and male?",None,Documents should have a third gender option
QB12R_10,ordinal,sexual_orientation,"How comfortable would you feel if a colleague at work with whom you are in daily contact belonged to each of the following groups?",A lesbian gay or bisexual person,Having a lesbian gay or bisexual colleague
QB12R_11,ordinal,sexual_orientation,"How comfortable would you feel if a colleague at work with whom you are in daily contact belonged to each of the following groups?",A transgender person or an intersex person,Having a transgender or intersex colleague
QB13R_10,ordinal,sexual_orientation,"How comfortable you would feel if one of your children was in a love relationship with a person from one of the following groups?",A person of the same sex as your child,Your child in love relationship with someone of the same sex
QB13R_11,ordinal,sexual_orientation,"How comfortable you would feel if one of your children was in a love relationship with a person from one of the following groups?",A transgender person or an intersex person,Your child in love relationship with a transgender or intersex person
QB15_1,ordinal,sexual_orientation,"To what extent do you agree or disagree with each of the following statements?",Lesbian gay and bisexual people should have the same rights as heterosexual people (marriage adoption parental rights),Equal rights for lesbian gay and bisexual people
QB15_2,ordinal,sexual_orientation,"To what extent do you agree or disagree with each of the following statements?",There is nothing wrong in a sexual relationship between two persons of the same sex,Support for same-sex relationships
QB15_3,ordinal,sexual_orientation,"To what extent do you agree or disagree with each of the following statements?",Same sex marriages should be allowed throughout Europe,Support for same-sex marriage across Europe
QB15_4,ordinal,sexual_orientation,"To what extent do you agree or disagree with each of the following statements?",Transgender people should have the same rights as anyone else (marriage adoption parental rights),Equal rights for transgender people
QB6R_2,ordinal,sexual_orientation,"How you would feel about having a person from each of the following groups in the highest elected political position?",A lesbian gay or bisexual person,Lesbian gay or bisexual person in political position
QB6R_10,ordinal,sexual_orientation,"How you would feel about having a person from each of the following groups in the highest elected political position?",A transgender person or an intersex person,Transgender or intersex person in political position
QB17_1,ordinal,sexual_orientation,"To what extent do you agree or disagree with the following statements? School lessons and material should include information about …?",Religions and beliefs,Include religions and beliefs in school lessons
QB17_2,ordinal,sexual_orientation,"To what extent do you agree or disagree with the following statements? School lessons and material should include information about …?",Sexual orientations (for example being lesbian gay or bisexual),Include sexual orientations in school lessons
QB17_3,ordinal,sexual_orientation,"To what extent do you agree or disagree with the following statements? School lessons and material should include information about …?",The existence of multiple gender identities (for example being transgender),Include multiple gender identities in school lessons
QB12R_5,ordinal,religion,"How comfortable would you feel if a colleague at work with whom you are in daily contact belonged to each of the following groups?",A Jewish person,Having a Jewish colleague
QB12R_6,ordinal,religion,"How comfortable would you feel if a colleague at work with whom you are in daily contact belonged to each of the following groups?",A Muslim person,Having a Muslim colleague
QB12R_7,ordinal,religion,"How comfortable would you feel if a colleague at work with whom you are in daily contact belonged to each of the following groups?",A Buddhist person,Having a Buddhist colleague
QB12R_8,ordinal,religion,"How comfortable would you feel if a colleague at work with whom you are in daily contact belonged to each of the following groups?",A Christian person,Having a Christian colleague
QB12R_9,ordinal,religion,"How comfortable would you feel if a colleague at work with whom you are in daily contact belonged to each of the following groups?",An atheist person,Having an atheist colleague
QB13R_5,ordinal,religion,"How comfortable you would feel if one of your children was in a love relationship with a person from one of the following groups?",A Jewish person,Your child in love relationship with a Jewish person
QB13R_6,ordinal,religion,"How comfortable you would feel if one of your children was in a love relationship with a person from one of the following groups?",A Muslim person,Your child in love relationship with a Muslim person
QB13R_7,ordinal,religion,"How comfortable you would feel if one of your children was in a love relationship with a person from one of the following groups?",A Buddhist person,Your child in love relationship with a Buddhist person
QB13R_8,ordinal,religion,"How comfortable you would feel if one of your children was in a love relationship with a person from one of the following groups?",A Christian person,Your child in love relationship with a Christian person
QB13R_9,ordinal,religion,"How comfortable you would feel if one of your children was in a love relationship with a person from one of the following groups?",An atheist person,Your child in love relationship with an atheist person
QB6R_9,ordinal,religion,"How you would feel about having a person from each of the following groups in the highest elected political position?",A person with a different religion than the majority,Person with minority religion in political position
Content,textual,index,None,None,None
D62_1,ordinal,socio,"Could you tell if you use the Internet at home in your home",None,None
D62_2,ordinal,socio,"Could you tell if you use the Internet on your place of work",None,None
D62_3,ordinal,socio,"Could you tell if you use the Internet on your mobile device (laptop smartphone tablet etc.)",None,None
D62_4,ordinal,socio,"Could you tell if you use the Internet somewhere else (school university cyber-cafe etc.)",None,None
D62R,ordinal,socio,"How often do you use the Internet?",None,None
D70,ordinal,socio,"On the whole how satisfied are you with the life you lead?",None,None
D1,ordinal,socio,"In political matters people talk of "the left" and "the right". How would you place your views on this scale?",None,None
